,title,date,uploader,script
0,"태국 Thammasat University 장학금(학사, 석/박사 과정) 안내", 2020년 9월 11일,국제팀,"
태국 Thammasat University 의 Sirindhorn International Institute of Technology (SIIT)에서 학사, 석/박사 과정 학생들에게 제공하는 장학금에 대해 안내하니, 관심있는 학생들의 많은 참여 바랍니다.
* 태국 Thammasat University 는 태국의 국립 종합대학으로, 1934년에 설립되었으며, 학생 수는 33000명인 대학입니다. 연구와 교육 분야의 저명한 상인 Four QS stars 를 수상하였으며, 태국 내 대학 순위 2위를 차지한 대학입니다.
1. 선발 개요
가. 선발 과정: 학사 및 대학원(석/박사)
나. 장학 내역:
1) 학사 지원자: 학비 및 교육지원 비용 전액(99,200 Baht, 한화 약 377만원 상당) 또는 학비 및 교육지원 비용의 1/2 또는 1/4 및 기타 비용 등(자세한 내용 첨부파일 참고)
2) 석/박사 지원자: 학비 및 교육지원 비용 전액(86,160 Baht, 한화 약 328만원 상당), 생활비(10,000 Baht, 한화 약 38만원 상당) 및 기타 비용 등(자세한 내용 첨부파일 참고)
2. 지원 개요
가. 지원 자격
1) 학사 지원자
– 태국 국적이 아닌 자(아시아 국적인 자)
– 태국 교육부 커리큘럼을 준수하는 고등학교 졸업장을 가진 자 혹은 타국가에서 동등한 자격을 갖춘 자
– SIIT의 타 장학금 중복 수혜 대상이 아닌 자
2) 석/박사 지원자
– 태국 국적이 아닌 자
– 우수한 성적을 보유한 자(반에서 상위 20% 이내)
– SIIT 대학원 과정 입학 자격 조건을 갖춘 자(<a data-cke-saved-href=""http://www.siit.tu.ac.th/grad_app"" href=""http://www.siit.tu.ac.th/grad_app"">www.siit.tu.ac.th/grad_app</a> 참고)
– 추천서 2부를 소지한 자(한 부는 반드시 학교 강사로부터 받아야 함)
– 타 장학금 중복 수혜 대상이 아닌 자
나. 지원 기한
1) 학사 학위 프로그램 지원: 2020. 10. 20. (화)까지
2) 석/박사 학위 프로그램 지원: 2020. 9. 30. (수)까지
다. 지원 방법: 참여 희망 시, 본교(study@ssu.ac.kr)와 상대교에 온라인 신청
1) 본교 온라인 신청 경로:  <a data-cke-saved-href=""https://forms.gle/NdzbXy1HoTTj3DwW6"" href=""https://forms.gle/NdzbXy1HoTTj3DwW6"">https://forms.gle/NdzbXy1HoTTj3DwW6</a>
2) 상대교 학사 프로그램 지원 경로: <a data-cke-saved-href=""https://www.siit.tu.ac.th/admission.php?sid=15&amp;ssid=67"" href=""https://www.siit.tu.ac.th/admission.php?sid=15&amp;ssid=67"">https://www.siit.tu.ac.th/admission.php?sid=15&amp;ssid=67</a>
3) 상대교 석/박사 프로그램 지원 경로: <a data-cke-saved-href=""http://ghttp//graduateadmissions.siit.tu.ac.th/"" href=""http://ghttp//graduateadmissions.siit.tu.ac.th/"">http://ghttp://graduateadmissions.siit.tu.ac.th/</a>
3. 문의처
가. 상대교 문의처: inter@siit.tu.ac.th
나. 국제팀: 02-820-0757, study@ssu.ac.kr
붙임 1. 학사 지원 포스터
붙임 2. 학사 지원 Details
붙임 3. 석/박사 지원 포스터
붙임 4. 석/박사 지원 Details.  끝.
 
"
1,2020년 2학기 중소기업 취업연계 장학사업(희망사다리I유형) 신규선발 및 추천기준 안내, 2020년 9월 11일,장학팀,"
"
2,[FUN시스템] 9월 2주차 비교과 프로그램 안내, 2020년 9월 11일,교육과정혁신팀,"
<a href=""https://fun.ssu.ac.kr/""><img alt="""" class=""alignleft wp-image-26521 size-full"" height=""1625"" sizes=""(max-width: 1125px) 100vw, 1125px"" src=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/9월2주차.png"" srcset=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/9월2주차.png 1125w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/9월2주차-208x300.png 208w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/9월2주차-768x1109.png 768w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/9월2주차-709x1024.png 709w"" width=""1125""/></a>
</div"
3,2020학년도 2학기 국가장학금 2차 신청 재안내(~9/15 18시), 2020년 9월 11일,장학팀,"
<span style=""font-family: arial,helvetica,sans-serif"">2020-2학기 국가장학금 2차 신청기간을 재안내합니다.  기한 내 신청 바랍니다.</span>
☑ <strong><span style=""font-family: arial,helvetica,sans-serif"">2차 신청 상세안내 바로가기 : <a href=""https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&amp;category=%EC%9E%A5%ED%95%99&amp;slug=2020%ED%95%99%EB%85%84%EB%8F%84-2%ED%95%99%EA%B8%B0-%EA%B5%AD%EA%B0%80%EC%9E%A5%ED%95%99%EA%B8%88-2%EC%B0%A8-%EC%8B%A0%EC%B2%AD-%EC%95%88%EB%82%B4-%E2%98%85&amp;keyword"">클릭</a></span></strong>
☑ <strong><span style=""font-family: arial,helvetica,sans-serif"">가구원 동의 안내 바로가기: <a href=""https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&amp;category=%EC%9E%A5%ED%95%99&amp;slug=2020-2%ED%95%99%EA%B8%B0-%EA%B5%AD%EA%B0%80%EC%9E%A5%ED%95%99%EA%B8%88-%EC%8B%A0%EC%B2%AD%EC%9E%90-%EA%B0%80%EA%B5%AC%EC%9B%90-%EB%8F%99%EC%9D%98-%EC%95%88%EB%82%B4&amp;keyword"">클릭</a> </span></strong>
<img alt="""" class=""wp-image-26515 alignleft"" height=""1081"" sizes=""(max-width: 757px) 100vw, 757px"" src=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/붙임1.-20.2학기-국가장학금-2차-신청-홍보-포스터-717x1024.jpg"" srcset=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/붙임1.-20.2학기-국가장학금-2차-신청-홍보-포스터-717x1024.jpg 717w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/붙임1.-20.2학기-국가장학금-2차-신청-홍보-포스터-210x300.jpg 210w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/붙임1.-20.2학기-국가장학금-2차-신청-홍보-포스터-768x1097.jpg 768w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/붙임1.-20.2학기-국가장학금-2차-신청-홍보-포스터-1568x2240.jpg 1568w"" width=""757""/>
</div"
4,2020-2 DIY 자기설계융합전공 공모전 참여 안내 (~10.12 까지 신청), 2020년 9월 11일,융합교육혁신팀,"
<img alt="""" class=""alignnone wp-image-26501"" height=""1708"" sizes=""(max-width: 961px) 100vw, 961px"" src=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지.png"" srcset=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지.png 1647w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-169x300.png 169w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-768x1365.png 768w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-576x1024.png 576w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-1568x2788.png 1568w"" width=""961""/>
 
<div id=""contents"">
<div class=""container"">
<div class=""vc_row wpb_row vc_row-fluid"">
<div class=""wpb_column vc_column_container vc_col-sm-12"">
<div class=""vc_column-inner"">
<div class=""wpb_wrapper"">
<div class=""row"">
<div class=""col-12 col-lg-9 col-xl-10"">
<div class=""bg-white p-4 mb-5"">

<b>DIY </b><b>자기설계 융합전공 공모전은</b>
<b>본교 비교과 종합정보시스템 </b><b>(Fun </b><b>시스템</b><b>) </b><b>을 접속하시면</b>
<b>보다 자세한 내용을 살펴볼 수 있습니다</b><b>. </b>
<b>1) </b><b>비교과 종합정보시스템 </b><b>(FUN</b><b>시스템</b><b>) </b><b>내 </b><b>“</b><b>자기설계융합전공</b><b>“</b><b>으로 검색</b>
<b>2) </b><b>또는 </b><b>FUN</b><b>시스템 내 해당 게시글 바로가기 링크</b>
<a href=""https://fun.ssu.ac.kr/ko/program/all/view/1591""><u>https://fun.ssu.ac.kr/ko/program/all/view/1591</u></a>
 
* Fun 시스템 내 등록된 모든 비교과 프로그램의 참여 신청 절차
1) Fun 시스템(fun.ssu.ac.kr)  로그인 (본인 u-Saint ID / PW  동일)
2) 본교 6대 핵심역량 진단 실시 (1년주기로 참여 필요)
3) 참여희망 프로그램에 참여 신청
4) 해당 프로그램 운영기관(학과/행정부서 등)의 승인 처리 후 참여
 
교육과정혁신센터 융합교육혁신팀
문의: 828-7437  / <u>bravokim@ssu.ac.kr</u>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div"
5,2020-2 DIY 자기설계융합전공 공모전 참여 신청 안내 (~10.12 까지), 2020년 9월 11일,융합교육혁신팀,"
<img alt="""" class=""alignnone wp-image-26501"" height=""1708"" sizes=""(max-width: 961px) 100vw, 961px"" src=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지.png"" srcset=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지.png 1647w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-169x300.png 169w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-768x1365.png 768w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-576x1024.png 576w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/포스터이미지-1568x2788.png 1568w"" width=""961""/>
 
<div id=""contents"">
<div class=""container"">
<div class=""vc_row wpb_row vc_row-fluid"">
<div class=""wpb_column vc_column_container vc_col-sm-12"">
<div class=""vc_column-inner"">
<div class=""wpb_wrapper"">
<div class=""row"">
<div class=""col-12 col-lg-9 col-xl-10"">
<div class=""bg-white p-4 mb-5"">

<b>DIY </b><b>자기설계 융합전공 공모전은</b>
<b>본교 비교과 종합정보시스템 </b><b>(Fun </b><b>시스템</b><b>) </b><b>을 접속하시면</b>
<b>보다 자세한 내용을 살펴볼 수 있습니다</b><b>. </b>
<b>1) </b><b>비교과 종합정보시스템 </b><b>(FUN</b><b>시스템</b><b>) </b><b>내 </b><b>“</b><b>자기설계융합전공</b><b>“</b><b>으로 검색</b>
<b>2) </b><b>또는 </b><b>FUN</b><b>시스템 내 해당 게시글 바로가기 링크</b>
<a href=""https://fun.ssu.ac.kr/ko/program/all/view/1591""><u>https://fun.ssu.ac.kr/ko/program/all/view/1591</u></a>
 
* Fun 시스템 내 등록된 모든 비교과 프로그램의 참여 신청 절차
1) Fun 시스템(fun.ssu.ac.kr)  로그인 (본인 u-Saint ID / PW  동일)
2) 본교 6대 핵심역량 진단 실시 (1년주기로 참여 필요)
3) 참여희망 프로그램에 참여 신청
4) 해당 프로그램 운영기관(학과/행정부서 등)의 승인 처리 후 참여
 
교육과정혁신센터 융합교육혁신팀
문의: 828-7437  / <u>bravokim@ssu.ac.kr</u>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div"
6,2020-2학기 국가장학금Ⅰ·Ⅱ유형 지급 안내, 2020년 9월 11일,장학팀,"
<img alt="""" class=""wp-image-26492 alignleft"" height=""802"" sizes=""(max-width: 867px) 100vw, 867px"" src=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_1-e1599782167237-1024x947.jpg"" srcset=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_1-e1599782167237-1024x947.jpg 1024w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_1-e1599782167237-300x278.jpg 300w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_1-e1599782167237-768x711.jpg 768w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_1-e1599782167237.jpg 1190w"" width=""867""/><img alt="""" class=""wp-image-26493 alignleft"" height=""962"" sizes=""(max-width: 864px) 100vw, 864px"" src=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_2-e1599782208373-920x1024.jpg"" srcset=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_2-e1599782208373-920x1024.jpg 920w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_2-e1599782208373-270x300.jpg 270w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_2-e1599782208373-768x854.jpg 768w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/2020-2학기-국가장학금-지급-안내최종_여백조정_2-e1599782208373.jpg 1190w"" width=""864""/>
<ul class=""download-list mt-5"">
<li>
<a download="""" href=""/download.php?data=1iZBAEYP01G24N2v6wVl9s5jGa0smQ8%2B8HVba1YhOwKiKp0Ym%2FP%2FpR0dBOZOTbHzSpK7YU7Hn9%2BMA96X1Hjg7GiCx3G9nSTyr%2F8Gt9m5CP%2Bu3GyKJLYqXoAR%2BPmWrNXQxWR4VACT53hwvna%2FkHtdlt57bbVVX3KUkHBdiLosCuxr5F7gHCscIrrpdwENO4qpOzRfYoqdfl5Q%2FW1uG9KSXFyt3v3y34XRA2eaPsxa7CaVwStRYjuGPNSgac6vw3g3"" target=""_blank"">
<span><i class=""icon-ssu icon-ssu-icon-28""></i> 2020-2학기-국가장학금-지급-안내_공지.pdf</span>
<i class=""icon-ssu icon-ssu-icon-29""></i>
</a>
</li>
</ul>
</div"
7,[교육과정혁신센터] 파워포인트 템플릿 공모전 & 영상 공모전 안내 (~10/5 AM 09:00), 2020년 9월 10일,교육과정혁신팀,"
<a href=""https://fun.ssu.ac.kr/ko/program/all/list/all?iidx=10003026&amp;t=%EA%B3%B5%EB%AA%A8%EC%A0%84""><img alt="""" class=""alignleft wp-image-26456 size-full"" height=""1684"" sizes=""(max-width: 1191px) 100vw, 1191px"" src=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/비교과-공모전-.jpg"" srcset=""https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/비교과-공모전-.jpg 1191w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/비교과-공모전--212x300.jpg 212w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/비교과-공모전--768x1086.jpg 768w, https://scatch.ssu.ac.kr/wp-content/uploads/sites/5/2020/09/비교과-공모전--724x1024.jpg 724w"" width=""1191""/></a>
<span style=""font-family: helvetica, arial, sans-serif""><strong><span style=""color: #3366ff"">(▲포스터 이미지 클릭 시, 펀시스템 비교과 공모전 페이지로 이동합니다. )</span></strong></span>
 
<span style=""font-family: helvetica, arial, sans-serif""><strong>□ 모집 기간: 10월 5일 AM 09:00까지</strong></span>
<span style=""font-family: helvetica, arial, sans-serif""><strong>□ 참가 대상: 본교 재학생 (학과 무관, 휴학생 불가)</strong></span>
<span style=""font-family: helvetica, arial, sans-serif""><strong>□ 신청 방법: 펀시스템에서 해당 키워드를 검색하여 참가 신청 </strong></span>
 
<strong><span style=""font-family: helvetica, arial, sans-serif;color: #333399"">■ 파워포인트 템플릿 공모전 (2020-2학기) : <a href=""https://fun.ssu.ac.kr/ko/program/all/view/1575"" style=""color: #333399"">https://fun.ssu.ac.kr/ko/program/all/view/1575</a></span></strong>
<strong><span style=""font-family: helvetica, arial, sans-serif;color: #333399"">■ 학과 / 융합전공 / 동아리 소개 영상공모전 (2020-2학기) : <a href=""https://fun.ssu.ac.kr/ko/program/all/view/1576"" style=""color: #333399"">https://fun.ssu.ac.kr/ko/program/all/view/1576</a></span></strong>
 
 
</div"
8,숭실대학교 IT대학 기초연구실 (컴퓨터공학/전자공학 분야) Post Doc. 모집, 2020년 9월 9일,웹마스터,"
숭실대학교 IT대학에서는 “초소형 커패시터 기반 고신뢰성 메모리 반도체 SSD 설계” 기초 연구실 과제를 함께 수행할 신진 연구인력을 모집하오니 많은 지원 바랍니다.
 
<ol>
<li>연구분야</li>
</ol>
– 초소형 커패시터 기반 고신뢰성 메모리 반도체 SSD 설계
– SSD 성능 및 내구성 향상을 위한 기법 개발
– 스토리지 관련 리눅스 커널 및 시스템 소프트웨어 개발
– 디지털 회로 및 RTL 설계 유경험자 우대
 
<ol start=""2"">
<li>급여조건</li>
</ol>
– 3,600만원 (세전) + 추후협의
 
<ol start=""3"">
<li>지원자격</li>
</ol>
– 컴퓨터공학, 전자공학 등의 분야 박사학위 소지자 또는 박사 졸업 예정자
– 국가공무원법 제33조의 결격 사유가 없는 자
 
<ol start=""4"">
<li>전형방법</li>
</ol>
– 서류제출 및 면접
 
<ol start=""5"">
<li>제출서류</li>
</ol>
– 이력서 1부 (자유양식), 자기소개서 1부 (자유양식)
– 내용: 연구실적 및 분야 위주로 간략히 작성 요망
 
<ol start=""6"">
<li>서류제출</li>
</ol>
– 2020년 9월 13일(일요일) 23:59까지 이메일(donghwashin@ssu.ac.kr)로 전송
 
<ol start=""7"">
<li>관련 홈페이지</li>
</ol>
– 숭실대학교 에너지 인지 컴퓨팅 연구실 (https://scholar.google.com/citations?user=fb2BnP0AAAAJ&amp;hl=en)
– 숭실대학교 데이터 처리 시스템 연구실 (https://sites.google.com/view/datoslab)
– 부산대학교 운영체제 및 메모리 솔루션 연구실 (https://sites.google.com/view/pnuoslab)
 
</div"
9,숭실글로벌장학금(TOPIK우수자) 신청 안내, 2020년 9월 9일,국제팀,"
"
